Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg)
"MELON, sweeter",0,0.0,0.0,0.1,0.0,0.0,1.0,0.0
MULBERRY,57,0.0,0.1,0.5,0.0,0.0,12.0,0.0
ORANGE,1104,0.0,0.0,0.0,0.0,0.0,30.0,0.0
ORANGE JUICE,15,0.1,0.0,0.4,0.0,0.0,64.0,0.0
PALMYRA FRUIT ripe (mesocarp),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PALMYRA FRUIT, tender",0,0.0,0.0,0.2,0.0,0.0,4.0,0.0
"PAPAYA, ripe",66,0.0,0.3,0.2,0.0,0.0,57.0,0.0
PASSION FRUIT,54,0.1,0.1,1.6,0.0,0.0,25.0,0.0
PASSION FRUIT JUICE,1968,0.0,0.0,0.0,0.0,0.0,13.0,0.0
PEACHES,0,0.0,0.0,0.5,0.0,0.0,6.0,0.0
PEARS,28,0.1,0.0,0.2,0.0,0.0,0.0,0.0
PERSIMMON,2268,0.0,0.0,0.0,0.0,0.0,33.0,0.0
PHALSA,419,0.0,0.0,0.3,0.0,0.0,22.0,0.0
PINE APPLE,18,0.2,0.1,0.1,0.0,0.0,39.0,8.0
PLUM,166,0.0,0.1,0.3,0.0,0.0,5.0,0.0
POMEGRANATE,0,0.1,0.1,0.3,0.0,0.0,16.0,0.0
PRUNES,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUMMELO,120,0.0,0.0,0.2,0.0,0.0,20.0,0.0
QUINCE,0,0.0,0.0,0.2,0.0,0.0,11.0,0.0
RAISINS,2,0.1,0.2,0.7,0.0,0.0,1.0,0.0
RASPBERRY,2248,0.0,0.0,0.8,0.0,0.0,30.0,0.0
ROSE APPLE,141,0.0,0.1,0.4,0.0,0.0,3.0,0.0
SAPOTA,97,0.0,0.0,0.2,0.0,0.0,6.0,0.0
SEETHAPHAL,0,0.1,0.2,1.3,0.0,0.0,37.0,0.0
STRAWBERRY,18,0.0,0.0,0.2,0.0,0.0,52.0,0.0
TOMATO RIPE,351,0.1,0.1,0.4,30.0,14.0,27.0,0.0
TOMATILO,48,0.1,0.0,2.1,0.0,0.0,2.0,0.0
TREE TOMATO,324,0.1,0.1,2.1,0.0,0.0,0.0,0.0
WOOD APPLE,61,0.0,0.2,0.8,0.0,0.0,3.0,0.0
ZIZYPHUS,21,0.0,0.1,0.7,0.0,0.0,76.0,0.0
AIR,0,0.0,0.0,0.5,0.0,0.0,11.0,0.0
ANCHOVY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACHA,0,0.0,0.0,0.6,0.0,0.0,13.0,0.0
BAM,0,0.0,0.0,0.9,0.0,0.0,3.0,438.0
BASPATA MACHLI,0,0.0,0.0,0.0,0.0,0.0,0.0,388.0
"BATA, small varieties",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELEY,0,0.0,0.0,0.3,0.0,0.0,3.0,0.0
"BHANGER, fresh",0,0.0,0.0,1.8,0.0,0.0,12.0,0.0
BHAGON dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHANGAN BATA,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
BHEKTI fresh,0,0.0,0.0,0.7,0.0,0.0,10.0,349.0
BHEKTI dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHOLA,0,0.0,0.0,0.5,0.0,0.0,14.0,0.0
BIG JAWED JUMPER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOAL,0,0.0,0.0,1.0,0.0,0.0,8.0,108.0
"BOMBAY DUCK, dried",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLUE MUSSEL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT FISH,0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
CHELA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHELA dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINGRI small dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHINGRI goda, dried",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHITAL,0,0.0,0.0,0.0,0.0,0.0,0.0,943.0
CRAB muscle,780,0.0,0.0,3.1,0.0,0.0,0.0,0.0
CRAB small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOLUI,0,0.0,0.0,0.8,0.0,0.0,6.0,1018.0
GHOL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOGGLER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
